Business Contract Tracking Register,,,,,,,,,,,,,
Mock data for illustration purposes only — replace with actual contract records,,,,,,,,,,,,,
,,,,,,,,,,,,,
No.,Types of Services,Name of Contract,Country,Partner,Customer,Note,Effective Date,Start Date,End Date,Responsible By,Remark,Status,Cost of Contract
98,Insurance,Property & Casualty Insurance Contract #1097,Hong Kong,Vanguard Innovations Ltd.,Internal - IT Security,Pricing subject to annual CPI adjustment,05-ก.ย.-2023,05-ก.ย.-2023,15-ก.ค.-2026,Arjun L.,Alternative vendors being benchmarked,Expired/Not renewed,"$213,000"
99,Training & Development,E-Learning Platform License #1098,United Kingdom,Bright Holdings Ltd.,Internal - Finance Dept.,Service level agreement reviewed annually,10-ม.ค.-2024,24-ม.ค.-2024,23-มิ.ย.-2027,Minji C.,Legal review in progress before renewal,Renewed,"$298,600"
100,Construction & Maintenance,Civil Works Contract #1099,Malaysia,Horizon Services Sdn Bhd,Nova Dynamics Sdn Bhd,Includes quarterly business review meetings,26-ก.ย.-2023,10-ต.ค.-2023,01-ต.ค.-2026,Wei O.,"Renewal quote received, under internal review",Negotiation in progress,"$1,996,300"
101,Software Licensing,Enterprise Software License (ERP) #1100,United States,Granite Holdings Inc.,NorthStar Dynamics Inc.,"Auto-renew clause, 90 days notice required",06-ธ.ค.-2023,13-ธ.ค.-2023,23-ธ.ค.-2026,James C.,Vendor performance review scheduled,Negotiation in progress,"$2,849,700"
102,Training & Development,Leadership Development Engagement #1101,United States,Orion Dynamics Inc.,Pinnacle Partners Inc.,Service level agreement reviewed annually,08-ก.ค.-2024,08-ก.ค.-2024,01-ธ.ค.-2026,Yuki M.,Flagged for cost optimization review,Negotiation in progress,"$17,500"
103,Software Licensing,Cybersecurity Software License #1102,Taiwan,"Alliance Systems Co., Ltd.","Anchor Enterprises Co., Ltd.",Includes 24/7 support SLA with penalty clauses,20-มี.ค.-2023,20-มี.ค.-2023,30-ก.ย.-2026,Ploy G.,Budget approval pending for renewal,Upcoming renewal,"$2,698,600"
104,Financial Services,Payment Gateway Services Agreement #1103,Vietnam,Onyx Technologies JSC,BlueSky Holdings JSC,"Auto-renew clause, 45 days notice required",02-ก.ย.-2022,02-ก.ย.-2022,12-มิ.ย.-2024,David D.,Flagged for cost optimization review,Expired/Not renewed,"$796,700"
105,Fleet & Transportation,Vehicle Leasing Agreement #1104,United States,Beacon Partners Inc.,Internal - Marketing Dept.,Exclusive regional distribution rights included,06-ธ.ค.-2020,20-ธ.ค.-2020,26-ส.ค.-2024,Priya M.,"Renewal quote received, under internal review",Expired/Not renewed,"$381,500"
106,Cleaning & Facility,Facility Maintenance Contract #1105,Australia,Meridian Dynamics Pty Ltd,Internal - E-commerce,"Auto-renew clause, 15 days notice required",09-ม.ค.-2026,16-ม.ค.-2026,07-ต.ค.-2027,James S.,Flagged for cost optimization review,Renewed,"$181,000"
107,Cleaning & Facility,Janitorial Services Agreement #1106,India,BlueSky Holdings Pvt. Ltd.,Internal - Procurement,Renewal contingent on performance KPIs,09-พ.ย.-2022,09-พ.ย.-2022,18-เม.ย.-2024,Ahmed R.,Vendor performance review scheduled,Expired/Not renewed,"$76,700"
108,Insurance,Property & Casualty Insurance Contract #1107,Myanmar,"Lumen Consulting Co., Ltd.",Internal - Legal Dept.,"Auto-renew clause, 15 days notice required",08-ม.ค.-2026,22-ม.ค.-2026,13-ธ.ค.-2028,Wei W.,-,Renewed,"$90,600"
109,Fleet & Transportation,Corporate Shuttle Service Contract #1108,China,"Silverline Networks Co., Ltd.",Internal - IT Dept.,"Auto-renew clause, 30 days notice required",15-ก.ย.-2025,22-ก.ย.-2025,23-พ.ค.-2028,Arjun J.,Relationship manager reassigned this quarter,Renewed,"$84,200"
110,Manufacturing Supply,OEM Production Agreement #1109,United Arab Emirates,Beacon Enterprises LLC,Internal - Legal Dept.,Pricing subject to annual CPI adjustment,11-มี.ค.-2023,25-มี.ค.-2023,21-เม.ย.-2026,Michael L.,Relationship manager reassigned this quarter,Expired/Not renewed,"$2,290,400"
111,Legal,Compliance Advisory Agreement #1110,China,"Anchor Industries Co., Ltd.",Internal - IT Dept.,"Multi-year framework agreement, reviewed yearly",30-ต.ค.-2024,13-พ.ย.-2024,14-ก.ย.-2027,Nathan W.,Relationship manager reassigned this quarter,Renewed,"$436,900"
112,Printing & Publishing,Annual Report Design & Print Contract #1111,France,Emerald Technologies SAS,Internal - Marketing Dept.,-,12-ก.ย.-2025,12-ก.ย.-2025,20-ธ.ค.-2026,Siti H.,Legal review in progress before renewal,Negotiation in progress,"$59,900"
113,Waste Management,Hazardous Waste Management Contract #1112,Thailand,"Pacific Networks Co., Ltd.",Internal - Operations,Pricing subject to annual CPI adjustment,05-ก.ย.-2025,19-ก.ย.-2025,01-ม.ค.-2027,Yuki M.,Legal review in progress before renewal,Negotiation in progress,"$172,900"
114,Marketing,Brand Campaign Agreement #1113,United Kingdom,Granite Dynamics Ltd.,Cascade Group Ltd.,Renewal contingent on performance KPIs,29-พ.ย.-2023,29-พ.ย.-2023,16-ธ.ค.-2026,Kanokwan M.,Flagged for cost optimization review,Negotiation in progress,"$195,200"
115,Logistics,Customs Brokerage Agreement #1114,Singapore,Apex Partners Pte Ltd,Crest Capital Pte Ltd,Exclusive regional distribution rights included,27-พ.ค.-2023,10-มิ.ย.-2023,11-เม.ย.-2026,Emily W.,Legal review in progress before renewal,Expired/Not renewed,"$607,400"
116,Fleet & Transportation,Fleet Maintenance Agreement #1115,Australia,Granite Capital Pty Ltd,Internal - Procurement,-,12-ต.ค.-2022,12-ต.ค.-2022,20-ส.ค.-2025,Priya P.,-,Expired/Not renewed,"$882,300"
117,Real Estate & Leasing,Office Space Lease Agreement #1116,United Arab Emirates,Unity Industries LLC,Radiant Innovations LLC,Volume discount tier applies above threshold spend,10-ต.ค.-2024,24-ต.ค.-2024,27-ธ.ค.-2025,Nathan E.,-,Expired/Not renewed,"$4,743,600"
118,Training & Development,E-Learning Platform License #1117,Australia,Zenith Partners Pty Ltd,Internal - Admin Dept.,Includes 24/7 support SLA with penalty clauses,06-ก.ค.-2026,20-ก.ค.-2026,16-ก.ย.-2028,Tanawat B.,Alternative vendors being benchmarked,Renewed,"$104,300"
119,Construction & Maintenance,Elevator Maintenance Contract #1118,Philippines,Beacon Services Inc.,Internal - IT Security,Includes quarterly business review meetings,20-มี.ค.-2023,20-มี.ค.-2023,20-พ.ย.-2025,Tanawat G.,Scope extension being discussed with partner,Expired/Not renewed,"$1,884,400"
120,Travel & Events,Event Management Services Contract #1119,Australia,Crest Trading Pty Ltd,Internal - Procurement,Service level agreement reviewed annually,19-ส.ค.-2025,26-ส.ค.-2025,11-ต.ค.-2028,Arjun D.,-,Renewed,"$329,200"
121,Insurance,Property & Casualty Insurance Contract #1120,Vietnam,Falcon Dynamics JSC,Crest Enterprises JSC,"Multi-year framework agreement, reviewed yearly",28-ธ.ค.-2025,11-ม.ค.-2026,22-ส.ค.-2027,Minji S.,-,Renewed,"$1,119,100"
122,Printing & Publishing,Signage & Print Production Agreement #1121,South Korea,"Crown Logistics Co., Ltd.",Internal - Supply Chain,Service level agreement reviewed annually,29-ก.ค.-2026,12-ส.ค.-2026,22-ส.ค.-2027,Tanawat D.,Relationship manager reassigned this quarter,Renewed,"$195,700"
123,Travel & Events,Corporate Travel Management Agreement #1122,Japan,Titan Services K.K.,Internal - IT Dept.,Service level agreement reviewed annually,12-พ.ค.-2025,19-พ.ค.-2025,12-พ.ค.-2027,David S.,Alternative vendors being benchmarked,Renewed,"$354,100"
124,Travel & Events,Conference Venue Agreement #1123,Philippines,Titan Logistics Inc.,Internal - Corporate Affairs,Service level agreement reviewed annually,23-ก.พ.-2023,02-มี.ค.-2023,07-ก.พ.-2027,Kanokwan K.,Relationship manager reassigned this quarter,Negotiation in progress,"$356,800"
125,Telecommunications,VoIP Services Agreement #1124,Japan,Alliance Services K.K.,Internal - Finance Dept.,Exclusive regional distribution rights included,01-ม.ค.-2026,01-ม.ค.-2026,31-ม.ค.-2028,Aiko A.,Flagged for cost optimization review,Renewed,"$435,400"
126,Construction & Maintenance,Civil Works Contract #1125,Vietnam,Vanguard Group JSC,Internal - Legal Dept.,Pricing subject to annual CPI adjustment,08-ก.ค.-2024,15-ก.ค.-2024,09-พ.ย.-2026,Michael H.,No issues reported this cycle,Upcoming renewal,"$1,513,700"
127,Fleet & Transportation,Corporate Shuttle Service Contract #1126,Thailand,"Unity Trading Co., Ltd.","Summit Group Co., Ltd.",Includes quarterly business review meetings,03-ธ.ค.-2025,03-ธ.ค.-2025,30-ส.ค.-2028,Priya F.,No issues reported this cycle,Renewed,"$582,100"
128,HR & Payroll,Employee Benefits Administration #1127,South Korea,"Vertex Innovations Co., Ltd.",Internal - Procurement,-,28-เม.ย.-2022,28-เม.ย.-2022,18-ก.ค.-2024,Daniel S.,Flagged for cost optimization review,Expired/Not renewed,"$276,900"
129,Training & Development,Leadership Development Engagement #1128,Hong Kong,Orion Consulting Ltd.,Alliance Logistics Ltd.,"Multi-year framework agreement, reviewed yearly",03-พ.ย.-2024,17-พ.ย.-2024,19-ก.ย.-2027,Carlos T.,Relationship manager reassigned this quarter,Renewed,"$138,100"
130,Marketing,Creative & Branding Services #1129,Hong Kong,Anchor Logistics Ltd.,Internal - E-commerce,"Auto-renew clause, 30 days notice required",27-ก.พ.-2024,27-ก.พ.-2024,19-พ.ย.-2026,Siti T.,No issues reported this cycle,Upcoming renewal,"$368,400"
131,Marketing,Digital Marketing Retainer #1130,Singapore,Delta Trading Pte Ltd,Lumen Logistics Pte Ltd,Exclusive regional distribution rights included,26-ม.ค.-2025,02-ก.พ.-2025,06-พ.ย.-2026,Tanawat B.,Alternative vendors being benchmarked,Negotiation in progress,"$349,500"
132,Software Licensing,CRM Platform Subscription Agreement #1131,Vietnam,Lumen Partners JSC,Falcon Group JSC,Includes 24/7 support SLA with penalty clauses,12-ต.ค.-2025,12-ต.ค.-2025,19-ต.ค.-2026,Grace R.,Alternative vendors being benchmarked,Upcoming renewal,"$2,936,000"
133,Waste Management,Recycling Services Agreement #1132,United Kingdom,Crown Industries Ltd.,Internal - Legal Dept.,"Auto-renew clause, 30 days notice required",26-ก.ค.-2023,09-ส.ค.-2023,14-ธ.ค.-2026,Carlos D.,Scope extension being discussed with partner,Upcoming renewal,"$232,200"
134,Marketing,Digital Marketing Retainer #1133,Malaysia,Solace Logistics Sdn Bhd,Internal - IT Security,Includes quarterly business review meetings,11-ก.ย.-2025,11-ก.ย.-2025,29-พ.ย.-2027,Sarah B.,No issues reported this cycle,Renewed,"$143,300"
135,Construction & Maintenance,HVAC Maintenance Agreement #1134,Cambodia,"Solace Services Co., Ltd.",Internal - Legal Dept.,"Auto-renew clause, 45 days notice required",10-ก.พ.-2025,17-ก.พ.-2025,10-ก.พ.-2027,Daniel J.,Alternative vendors being benchmarked,Negotiation in progress,"$1,122,800"
136,Printing & Publishing,Corporate Printing Services Agreement #1135,Australia,Zenith Networks Pty Ltd,Internal - HR Dept.,Renewal contingent on performance KPIs,01-ม.ค.-2024,08-ม.ค.-2024,29-ต.ค.-2025,Tanawat H.,Alternative vendors being benchmarked,Expired/Not renewed,"$183,400"
137,Waste Management,Recycling Services Agreement #1136,Hong Kong,Vertex Ventures Ltd.,Internal - Admin Dept.,-,05-พ.ค.-2024,05-พ.ค.-2024,30-พ.ค.-2026,Anucha O.,-,Expired/Not renewed,"$87,900"
138,Marketing,Influencer Partnership Contract #1137,Japan,Radiant Enterprises K.K.,Internal - Supply Chain,-,30-พ.ย.-2022,07-ธ.ค.-2022,03-ส.ค.-2024,Somchai G.,Alternative vendors being benchmarked,Expired/Not renewed,"$824,700"
139,HR & Payroll,Employee Benefits Administration #1138,Taiwan,"Sterling Technologies Co., Ltd.",Internal - E-commerce,Includes 24/7 support SLA with penalty clauses,17-มิ.ย.-2023,17-มิ.ย.-2023,26-ม.ค.-2027,Priya I.,Scope extension being discussed with partner,Negotiation in progress,"$324,100"
140,Financial Services,Treasury Management Contract #1139,Australia,Zenith Logistics Pty Ltd,Internal - Admin Dept.,Pricing subject to annual CPI adjustment,21-ก.ค.-2025,21-ก.ค.-2025,22-พ.ย.-2028,Nattapong I.,Alternative vendors being benchmarked,Renewed,"$177,800"
141,Fleet & Transportation,Fleet Maintenance Agreement #1140,South Korea,"Emerald Services Co., Ltd.",Internal - Finance Dept.,Includes 24/7 support SLA with penalty clauses,24-พ.ย.-2024,24-พ.ย.-2024,05-พ.ย.-2026,Ploy O.,Flagged for cost optimization review,Upcoming renewal,"$653,900"
142,Logistics,Customs Brokerage Agreement #1141,Hong Kong,Apex Consulting Ltd.,Summit Solutions Ltd.,Pricing subject to annual CPI adjustment,22-ก.ย.-2025,22-ก.ย.-2025,10-ต.ค.-2026,James H.,No issues reported this cycle,Upcoming renewal,"$935,000"
143,Real Estate & Leasing,Retail Unit Lease Contract #1142,United Arab Emirates,Emerald Solutions LLC,Internal - E-commerce,Exclusive regional distribution rights included,02-มิ.ย.-2025,02-มิ.ย.-2025,10-ม.ค.-2028,Somchai A.,"Renewal quote received, under internal review",Renewed,"$2,536,000"
144,Legal,Compliance Advisory Agreement #1143,Hong Kong,NorthStar Industries Ltd.,Internal - E-commerce,"Multi-year framework agreement, reviewed yearly",04-พ.ค.-2023,11-พ.ค.-2023,13-มิ.ย.-2026,Ahmed I.,Legal review in progress before renewal,Expired/Not renewed,"$283,500"
145,Marketing,Creative & Branding Services #1144,Singapore,Horizon Ventures Pte Ltd,Internal - E-commerce,Pricing subject to annual CPI adjustment,01-ก.ย.-2023,08-ก.ย.-2023,27-มิ.ย.-2027,Suchada A.,"Renewal quote received, under internal review",Renewed,"$587,500"
146,Printing & Publishing,Annual Report Design & Print Contract #1145,Singapore,Crown Enterprises Pte Ltd,Pinnacle Innovations Pte Ltd,Pricing subject to annual CPI adjustment,10-พ.ย.-2026,10-พ.ย.-2026,16-ม.ค.-2028,Piyawan C.,Scope extension being discussed with partner,Renewed,"$186,100"
147,Fleet & Transportation,Vehicle Leasing Agreement #1146,Indonesia,Vanguard Consulting PT,Internal - Corporate Affairs,Pricing subject to annual CPI adjustment,05-พ.ค.-2025,19-พ.ค.-2025,26-ต.ค.-2026,Nathan S.,"Renewal quote received, under internal review",Negotiation in progress,"$676,000"
148,Manufacturing Supply,Packaging Supply Contract #1147,South Korea,"Meridian Services Co., Ltd.",Internal - Corporate Affairs,Exclusive regional distribution rights included,08-ต.ค.-2024,08-ต.ค.-2024,08-ก.ค.-2028,Michael A.,Vendor performance review scheduled,Renewed,"$1,487,700"
149,Fleet & Transportation,Corporate Shuttle Service Contract #1148,United Kingdom,Horizon Technologies Ltd.,Meridian Consulting Ltd.,Volume discount tier applies above threshold spend,25-ก.พ.-2027,04-มี.ค.-2027,12-ม.ค.-2029,Emily M.,-,Renewed,"$298,700"
150,Insurance,Property & Casualty Insurance Contract #1149,France,Orion Systems SAS,Internal - Marketing Dept.,Pricing subject to annual CPI adjustment,28-พ.ค.-2025,28-พ.ค.-2025,09-ก.ย.-2028,Chloe O.,"Renewal quote received, under internal review",Renewed,"$68,600"
151,Real Estate & Leasing,Retail Unit Lease Contract #1150,Myanmar,"Sterling Ventures Co., Ltd.",Internal - HR Dept.,Service level agreement reviewed annually,25-ม.ค.-2022,25-ม.ค.-2022,27-ธ.ค.-2025,Anucha S.,Legal review in progress before renewal,Expired/Not renewed,"$3,442,300"
152,Insurance,Cargo Insurance Agreement #1151,China,"Emerald Partners Co., Ltd.",Internal - HR Dept.,Includes 24/7 support SLA with penalty clauses,12-มิ.ย.-2024,12-มิ.ย.-2024,21-มิ.ย.-2027,Daniel J.,No issues reported this cycle,Renewed,"$1,418,000"
153,Consulting,Digital Transformation Consulting #1152,France,Pacific Partners SAS,Internal - HR Dept.,"Multi-year framework agreement, reviewed yearly",13-ก.ย.-2026,13-ก.ย.-2026,17-มิ.ย.-2028,Nathan K.,Budget approval pending for renewal,Renewed,"$412,000"
154,Security,Executive Protection Services #1153,United Kingdom,Sterling Technologies Ltd.,Emerald Industries Ltd.,"Multi-year framework agreement, reviewed yearly",10-ก.ค.-2022,10-ก.ค.-2022,26-ก.ค.-2025,Nathan I.,Flagged for cost optimization review,Expired/Not renewed,"$467,100"
155,Security,Executive Protection Services #1154,Taiwan,"Prime Dynamics Co., Ltd.","Silverline Dynamics Co., Ltd.",Service level agreement reviewed annually,12-ธ.ค.-2024,12-ธ.ค.-2024,24-ส.ค.-2027,Wanida N.,Alternative vendors being benchmarked,Renewed,"$137,600"
156,Marketing,Media Buying Agreement #1155,France,Solace Innovations SAS,Internal - E-commerce,Pricing subject to annual CPI adjustment,16-พ.ค.-2025,16-พ.ค.-2025,06-พ.ย.-2026,Daniel S.,No issues reported this cycle,Upcoming renewal,"$696,700"
157,Logistics,Freight Forwarding Contract #1156,Cambodia,"Vanguard Services Co., Ltd.","Delta Group Co., Ltd.",Includes 24/7 support SLA with penalty clauses,29-ต.ค.-2024,05-พ.ย.-2024,31-ม.ค.-2027,Kanokwan I.,Flagged for cost optimization review,Negotiation in progress,"$704,700"
158,Cleaning & Facility,Office Facility Management Contract #1157,United States,Prime Innovations Inc.,Internal - HR Dept.,Pricing subject to annual CPI adjustment,30-พ.ค.-2023,30-พ.ค.-2023,17-ธ.ค.-2026,Budi E.,"Renewal quote received, under internal review",Negotiation in progress,"$187,200"
159,Training & Development,Corporate Training Program Agreement #1158,France,Sterling Consulting SAS,Internal - Procurement,Renewal contingent on performance KPIs,27-มี.ค.-2027,27-มี.ค.-2027,25-ก.พ.-2029,Nattapong K.,Budget approval pending for renewal,Renewed,"$159,600"
